RegionSegment,RegionSegmentEndUse,RegionSegmentEndUseEfficiency,RegionSegmentEndUseEfficiencyVintage,RegionSegmentEndUseEfficiencyDescriptionVintage,RegionSegmentEndUseVintage,Region,Segment,End Use,Efficiency Level,Efficiency Description,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - Hydronic Heating,SCLMultifamily - High RiseCirculation - Hydronic Heating2,SCLMultifamily - High RiseCirculation - Hydronic Heating2New,SCLMultifamily - High RiseCirculation - Hydronic HeatingECM Pump Motor - Hydronic HeatingNew,SCLMultifamily - High RiseCirculation - Hydronic HeatingNew,SCL,Multifamily - High Rise,Circulation - Hydronic Heating,2,ECM Pump Motor - Hydronic Heating,New,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - Hydronic Heating,SCLMultifamily - High RiseCirculation - Hydronic Heating1,SCLMultifamily - High RiseCirculation - Hydronic Heating1New,SCLMultifamily - High RiseCirculation - Hydronic HeatingMarket Average Hydronic Heating PumpNew,SCLMultifamily - High RiseCirculation - Hydronic HeatingNew,SCL,Multifamily - High Rise,Circulation - Hydronic Heating,1,Market Average Hydronic Heating Pump,New,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCLMultifamily - High RiseComputer - Desktop2,SCLMultifamily - High RiseComputer - Desktop2Existing,SCLMultifamily - High RiseComputer - DesktopENERGY STAR DesktopExisting,SCLMultifamily - High RiseComputer - DesktopExisting,SCL,Multifamily - High Rise,Computer - Desktop,2,ENERGY STAR Desktop,Existing,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCLMultifamily - High RiseComputer - Desktop1,SCLMultifamily - High RiseComputer - Desktop1Existing,SCLMultifamily - High RiseComputer - DesktopWashington State Code BaselineExisting,SCLMultifamily - High RiseComputer - DesktopExisting,SCL,Multifamily - High Rise,Computer - Desktop,1,Washington State Code Baseline,Existing,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCLMultifamily - High RiseComputer - Desktop2,SCLMultifamily - High RiseComputer - Desktop2New,SCLMultifamily - High RiseComputer - DesktopENERGY STAR DesktopNew,SCLMultifamily - High RiseComputer - DesktopNew,SCL,Multifamily - High Rise,Computer - Desktop,2,ENERGY STAR Desktop,New,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCLMultifamily - High RiseComputer - Desktop1,SCLMultifamily - High RiseComputer - Desktop1New,SCLMultifamily - High RiseComputer - DesktopWashington State Code BaselineNew,SCLMultifamily - High RiseComputer - DesktopNew,SCL,Multifamily - High Rise,Computer - Desktop,1,Washington State Code Baseline,New,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCLMultifamily - High RiseComputer - Laptop2,SCLMultifamily - High RiseComputer - Laptop2Existing,SCLMultifamily - High RiseComputer - LaptopENERGY STAR NotebookExisting,SCLMultifamily - High RiseComputer - LaptopExisting,SCL,Multifamily - High Rise,Computer - Laptop,2,ENERGY STAR Notebook,Existing,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCLMultifamily - High RiseComputer - Laptop1,SCLMultifamily - High RiseComputer - Laptop1Existing,SCLMultifamily - High RiseComputer - LaptopMarket Average Laptop ComputerExisting,SCLMultifamily - High RiseComputer - LaptopExisting,SCL,Multifamily - High Rise,Computer - Laptop,1,Market Average Laptop Computer,Existing,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCLMultifamily - High RiseComputer - Laptop2,SCLMultifamily - High RiseComputer - Laptop2New,SCLMultifamily - High RiseComputer - LaptopENERGY STAR NotebookNew,SCLMultifamily - High RiseComputer - LaptopNew,SCL,Multifamily - High Rise,Computer - Laptop,2,ENERGY STAR Notebook,New,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCLMultifamily - High RiseComputer - Laptop1,SCLMultifamily - High RiseComputer - Laptop1New,SCLMultifamily - High RiseComputer - LaptopMarket Average Laptop ComputerNew,SCLMultifamily - High RiseComputer - LaptopNew,SCL,Multifamily - High Rise,Computer - Laptop,1,Market Average Laptop Computer,New,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCLMultifamily - High RiseCooking Oven2,SCLMultifamily - High RiseCooking Oven2Existing,SCLMultifamily - High RiseCooking OvenEfficient OvenExisting,SCLMultifamily - High RiseCooking OvenExisting,SCL,Multifamily - High Rise,Cooking Oven,2,Efficient Oven,Existing,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCLMultifamily - High RiseCooking Oven1,SCLMultifamily - High RiseCooking Oven1Existing,SCLMultifamily - High RiseCooking OvenFederal Standard 2012 Cooking OvenExisting,SCLMultifamily - High RiseCooking OvenExisting,SCL,Multifamily - High Rise,Cooking Oven,1,Federal Standard 2012 Cooking Oven,Existing,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCLMultifamily - High RiseCooking Oven2,SCLMultifamily - High RiseCooking Oven2New,SCLMultifamily - High RiseCooking OvenEfficient OvenNew,SCLMultifamily - High RiseCooking OvenNew,SCL,Multifamily - High Rise,Cooking Oven,2,Efficient Oven,New,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCLMultifamily - High RiseCooking Oven1,SCLMultifamily - High RiseCooking Oven1New,SCLMultifamily - High RiseCooking OvenFederal Standard 2012 Cooking OvenNew,SCLMultifamily - High RiseCooking OvenNew,SCL,Multifamily - High Rise,Cooking Oven,1,Federal Standard 2012 Cooking Oven,New,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Range,SCLMultifamily - High RiseCooking Range1,SCLMultifamily - High RiseCooking Range1Existing,SCLMultifamily - High RiseCooking RangeFederal Standard 2012 Cooking RangeExisting,SCLMultifamily - High RiseCooking RangeExisting,SCL,Multifamily - High Rise,Cooking Range,1,Federal Standard 2012 Cooking Range,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Range,SCLMultifamily - High RiseCooking Range1,SCLMultifamily - High RiseCooking Range1New,SCLMultifamily - High RiseCooking RangeFederal Standard 2012 Cooking RangeNew,SCLMultifamily - High RiseCooking RangeNew,SCL,Multifamily - High Rise,Cooking Range,1,Federal Standard 2012 Cooking Range,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central7,SCLMultifamily - High RiseCool Central7Existing,SCLMultifamily - High RiseCool CentralEnhanced Central Air Conditioner - SEER/EER 20/14 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,7,Enhanced Central Air Conditioner - SEER/EER 20/14 (Split System),Existing,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central6,SCLMultifamily - High RiseCool Central6Existing,SCLMultifamily - High RiseCool CentralCEE Tier 3 Central Air Conditioner - SEER/EER 18/13 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,6,CEE Tier 3 Central Air Conditioner - SEER/EER 18/13 (Split System),Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central5,SCLMultifamily - High RiseCool Central5Existing,SCLMultifamily - High RiseCool CentralCEE Tier 2 Central Air Conditioner - SEER/EER 16/13 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,5,CEE Tier 2 Central Air Conditioner - SEER/EER 16/13 (Split System),Existing,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central4,SCLMultifamily - High RiseCool Central4Existing,SCLMultifamily - High RiseCool CentralENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,4,ENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System),Existing,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central3,SCLMultifamily - High RiseCool Central3Existing,SCLMultifamily - High RiseCool CentralFederal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,3,Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Existing,0.102019992,0.102019992,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central2,SCLMultifamily - High RiseCool Central2Existing,SCLMultifamily - High RiseCool CentralFederal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,2,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Existing,0.455033494,0.864567499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central1,SCLMultifamily - High RiseCool Central1Existing,SCLMultifamily - High RiseCool CentralBelow Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,1,Below Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System),Existing,0.409534005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central7,SCLMultifamily - High RiseCool Central7New,SCLMultifamily - High RiseCool CentralEnhanced Central Air Conditioner - SEER/EER 20/14 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,7,Enhanced Central Air Conditioner - SEER/EER 20/14 (Split System),New,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084,0.012025084
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central6,SCLMultifamily - High RiseCool Central6New,SCLMultifamily - High RiseCool CentralCEE Tier 3 Central Air Conditioner - SEER/EER 18/13 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,6,CEE Tier 3 Central Air Conditioner - SEER/EER 18/13 (Split System),New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central5,SCLMultifamily - High RiseCool Central5New,SCLMultifamily - High RiseCool CentralCEE Tier 2 Central Air Conditioner - SEER/EER 16/13 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,5,CEE Tier 2 Central Air Conditioner - SEER/EER 16/13 (Split System),New,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925,0.013863925
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central4,SCLMultifamily - High RiseCool Central4New,SCLMultifamily - High RiseCool CentralENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,4,ENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System),New,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235,0.0075235
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central3,SCLMultifamily - High RiseCool Central3New,SCLMultifamily - High RiseCool CentralFederal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,3,Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),New,0.102019992,0.102019992,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491,0.966587491
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central2,SCLMultifamily - High RiseCool Central2New,SCLMultifamily - High RiseCool CentralFederal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,2,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),New,0.864567499,0.864567499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central1,SCLMultifamily - High RiseCool Central1New,SCLMultifamily - High RiseCool CentralBelow Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,1,Below Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System),New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room4,SCLMultifamily - High RiseCool Room4Existing,"SCLMultifamily - High RiseCool RoomENERGY STAR Room AC - CEER 12.0 (8,000-13,999 Btuh)Existing",SCLMultifamily - High RiseCool RoomExisting,SCL,Multifamily - High Rise,Cool Room,4,"ENERGY STAR Room AC - CEER 12.0 (8,000-13,999 Btuh)",Existing,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714,0.524285714
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room3,SCLMultifamily - High RiseCool Room3Existing,"SCLMultifamily - High RiseCool RoomRoom AC - Market Average (8,000-13,999 Btuh)Existing",SCLMultifamily - High RiseCool RoomExisting,SCL,Multifamily - High Rise,Cool Room,3,"Room AC - Market Average (8,000-13,999 Btuh)",Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room2,SCLMultifamily - High RiseCool Room2Existing,"SCLMultifamily - High RiseCool RoomFederal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)Existing",SCLMultifamily - High RiseCool RoomExisting,SCL,Multifamily - High Rise,Cool Room,2,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)",Existing,0.211428571,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286,0.475714286
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room1,SCLMultifamily - High RiseCool Room1Existing,"SCLMultifamily - High RiseCool RoomBelow Standard Room AC - CEER 9.7 (8,000-13,999 Btuh)Existing",SCLMultifamily - High RiseCool RoomExisting,SCL,Multifamily - High Rise,Cool Room,1,"Below Standard Room AC - CEER 9.7 (8,000-13,999 Btuh)",Existing,0.264285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room4,SCLMultifamily - High RiseCool Room4New,"SCLMultifamily - High RiseCool RoomENERGY STAR Room AC - CEER 12.0 (8,000-13,999 Btuh)New",SCLMultifamily - High RiseCool RoomNew,SCL,Multifamily - High Rise,Cool Room,4,"ENERGY STAR Room AC - CEER 12.0 (8,000-13,999 Btuh)",New,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room3,SCLMultifamily - High RiseCool Room3New,"SCLMultifamily - High RiseCool RoomRoom AC - Market Average (8,000-13,999 Btuh)New",SCLMultifamily - High RiseCool RoomNew,SCL,Multifamily - High Rise,Cool Room,3,"Room AC - Market Average (8,000-13,999 Btuh)",New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
